CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	CMONEDA	CTIPOHORARIO	DIASEMANA	FHASTA	FDESDE	HORADESDE	HORAHASTA	MONTOMAXIMO	CODIGOREGISTRO	VERSIONCONTROL
2	21	00	000	1	001	21	1000	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121100001USDN5	0
2	21	00	000	1	001	21	1170	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117001USDN5	0
2	21	00	000	1	001	21	1171	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117101USDN5	0
2	21	00	000	1	001	21	1172	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121117201USDN5	0
2	21	00	000	1	001	21	1203	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121120301USDN5	0
2	21	00	000	1	001	21	1208	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121120801USDN5	0
2	21	00	000	1	001	21	1210	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121121001USDN5	0
2	21	00	000	1	001	21	5030	01	USD	N	1	31/12/2999 0:00:00,000000	29/6/2018 11:49:39,299000	0700	2359	1000000	22100000100121503001USDN1	0
2	21	00	000	1	001	21	5030	01	USD	N	2	31/12/2999 0:00:00,000000	29/6/2018 11:49:39,309000	0700	2359	1000000	22100000100121503001USDN2	0
2	21	00	000	1	001	21	3020	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121302001USDN5	0
2	21	00	000	1	001	21	5030	01	USD	N	3	31/12/2999 0:00:00,000000	29/6/2018 11:49:39,317000	0700	2359	10000010	22100000100121503001USDN3	0
2	21	00	000	1	001	21	5030	01	USD	N	4	31/12/2999 0:00:00,000000	29/6/2018 11:49:39,323000	0700	2359	1000000	22100000100121503001USDN4	0
2	21	00	000	1	001	21	5030	01	USD	N	5	31/12/2999 0:00:00,000000	29/6/2018 11:49:39,348000	0700	2359	1000000	22100000100121503001USDN5	0
2	21	00	000	1	001	21	3026	01	USD	N	5	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121302601USDN5	0
2	21	00	000	1	001	21	3030	01	USD	N	5	31/12/2999 0:00:00,000000	29/6/2018 14:51:45,709000	0700	2359	10000000	22100000100121303001USDN5	1
