CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	VERSIONCONTROL
2	02	00	000	1	001	02	2062	01	0
2	02	00	000	1	001	02	2063	01	0
2	14	00	000	1	002	14	5001	01	0
2	14	00	000	1	002	14	6000	01	0
2	14	00	000	1	002	14	4001	01	0
2	14	00	000	1	002	14	5000	01	0
2	02	00	000	1	001	02	0005	01	0
2	02	00	000	1	001	02	0244	01	0
2	02	00	000	1	001	02	1000	01	0
2	02	00	000	1	001	02	1001	01	0
2	02	00	000	1	001	02	1002	01	0
2	02	00	000	1	001	02	1003	01	0
2	02	00	000	1	001	02	1004	01	0
2	02	00	000	1	001	02	1005	01	0
2	02	00	000	1	001	02	1006	01	0
2	02	00	000	1	001	02	1007	01	0
2	02	00	000	1	001	02	1008	01	0
2	02	00	000	1	001	02	1009	01	0
2	02	00	000	1	001	02	1010	01	0
2	02	00	000	1	001	02	1011	01	0
2	02	00	000	1	001	02	1012	01	0
2	02	00	000	1	001	02	1013	01	0
2	02	00	000	1	001	02	1014	01	0
2	02	00	000	1	001	02	1015	01	0
2	02	00	000	1	001	02	1016	01	0
2	02	00	000	1	001	02	1017	01	0
2	02	00	000	1	001	02	1018	01	0
2	02	00	000	1	001	02	1019	01	0
2	02	00	000	1	001	02	1020	01	0
2	02	00	000	1	001	02	1021	01	0
2	02	00	000	1	001	02	1022	01	0
2	02	00	000	1	001	02	1023	01	0
2	02	00	000	1	001	02	1024	01	0
2	02	00	000	1	001	02	1025	01	0
2	02	00	000	1	001	02	1026	01	0
2	02	00	000	1	001	02	1027	01	0
2	02	00	000	1	001	02	1028	01	0
2	02	00	000	1	001	02	1029	01	0
2	02	00	000	1	001	02	1030	01	0
2	02	00	000	1	001	02	1031	01	0
2	02	00	000	1	001	02	1032	01	0
2	02	00	000	1	001	02	1033	01	0
2	02	00	000	1	001	02	1034	01	0
2	02	00	000	1	001	02	1035	01	0
2	02	00	000	1	001	02	1036	01	0
2	02	00	000	1	001	02	1037	01	0
2	02	00	000	1	001	02	1038	01	0
2	02	00	000	1	001	02	1042	01	0
2	02	00	000	1	001	02	1043	01	0
2	14	00	000	1	002	14	0100	01	0
2	14	00	000	1	002	14	0101	01	0
2	14	00	000	1	002	14	0102	01	0
2	14	00	000	1	002	14	0103	01	0
2	14	00	000	1	002	14	0104	01	0
2	14	00	000	1	002	14	0110	01	0
2	14	00	000	1	002	14	0111	01	0
2	14	00	000	1	002	14	0112	01	0
2	14	00	000	1	002	14	0113	01	0
2	14	00	000	1	002	14	0114	01	0
2	14	00	000	1	002	14	0115	01	0
2	14	00	000	1	002	14	0116	01	0
2	14	00	000	1	002	14	0117	01	0
2	14	00	000	1	002	14	0118	01	0
2	14	00	000	1	002	14	0119	01	0
2	21	00	000	1	001	21	1000	01	0
2	21	00	000	1	001	21	1170	01	0
2	21	00	000	1	001	21	1171	01	0
2	21	00	000	1	001	21	1172	01	0
2	21	00	000	1	001	21	1200	01	0
2	21	00	000	1	001	21	1201	01	0
2	21	00	000	1	001	21	1202	01	0
2	21	00	000	1	001	21	1203	01	0
2	21	00	000	1	001	21	1204	01	0
2	21	00	000	1	001	21	1205	01	0
2	21	00	000	1	001	21	1206	01	0
2	21	00	000	1	001	21	1208	01	0
2	21	00	000	1	001	21	1209	01	0
2	21	00	000	1	001	21	1210	01	0
2	01	00	000	1	001	01	2000	01	0
2	01	00	000	1	001	01	2001	01	0
2	01	00	000	1	001	01	2002	01	0
2	01	00	000	1	001	01	2003	01	0
2	01	00	000	1	001	01	2004	01	0
2	01	00	000	1	001	01	2011	01	0
2	01	00	000	1	001	01	2012	01	0
2	01	00	000	1	001	01	2060	01	0
2	01	00	000	1	001	01	2061	01	0
2	01	00	000	1	001	01	2062	01	0
2	01	00	000	1	001	01	2063	01	0
2	01	00	000	1	001	01	3000	01	0
2	01	00	000	1	001	01	3001	01	0
2	01	00	000	1	001	01	3002	01	0
2	01	00	000	1	001	01	6034	01	0
2	01	00	000	1	001	01	6035	01	0
2	01	00	000	1	001	01	8000	01	0
2	01	00	000	1	001	01	8001	01	0
2	01	00	000	1	001	01	8002	01	0
2	01	00	000	1	001	01	8003	01	0
2	01	00	000	1	001	01	8007	01	0
2	01	00	000	1	001	01	8010	01	0
2	01	00	000	1	001	01	8011	01	0
2	01	00	000	1	001	01	8062	01	0
2	01	00	000	1	001	01	8070	01	0
2	01	00	000	1	001	01	8071	01	0
2	01	00	000	1	001	01	8072	01	0
2	01	00	000	1	001	01	8073	01	0
2	01	00	000	1	001	01	8074	01	0
2	01	00	000	1	001	01	8075	01	0
2	01	00	000	1	001	01	8100	01	0
2	01	00	000	1	001	01	9000	01	0
2	01	00	000	1	001	01	9001	01	0
2	01	00	000	1	001	01	9002	01	0
2	01	00	000	1	001	01	9003	01	0
2	01	00	000	1	001	01	9004	01	0
2	01	00	000	1	001	01	9005	01	0
2	01	00	000	1	001	01	9007	01	0
2	01	00	000	1	001	01	9008	01	0
2	01	00	000	1	001	01	9009	01	0
2	01	00	000	1	001	01	9010	01	0
2	01	00	000	1	001	01	9011	01	0
2	01	00	000	1	001	01	9012	01	0
2	01	00	000	1	001	01	9013	01	0
2	01	00	000	1	001	01	9014	01	0
2	01	00	000	1	001	01	9015	01	0
2	01	00	000	1	001	01	9016	01	0
2	01	00	000	1	001	01	9017	01	0
2	01	00	000	1	001	01	9018	01	0
2	01	00	000	1	001	01	9019	01	0
2	01	00	000	1	001	01	9020	01	0
2	01	00	000	1	001	01	9021	01	0
2	01	00	000	1	001	01	9022	01	0
2	01	00	000	1	001	01	9023	01	0
2	01	00	000	1	001	01	9024	01	0
2	01	00	000	1	001	01	9025	01	0
2	01	00	000	1	001	01	9026	01	0
2	01	00	000	1	001	01	9027	01	0
2	01	00	000	1	001	01	9028	01	0
2	01	00	000	1	001	01	9029	01	0
2	01	00	000	1	001	01	9030	01	0
